年月,タイトル,売上予測（円）,サービス開始日,サービス終了日,備考
2017-10-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-11-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-12-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-01-01,デジモンリンクス,83030000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-02-01,デジモンリンクス,64130000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-03-01,デジモンリンクス,10730000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-04-01,デジモンリンクス,56840000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-05-01,デジモンリンクス,85360000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-06-01,デジモンリンクス,34680000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-07-01,デジモンリンクス,41280000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-08-01,デジモンリンクス,33010000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-09-01,デジモンリンクス,41960000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-10-01,デジモンリンクス,24900000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-11-01,デジモンリンクス,32370000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2018-12-01,デジモンリンクス,37210000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-01-01,デジモンリンクス,35540000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-02-01,デジモンリンクス,15970000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-03-01,デジモンリンクス,29310000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-04-01,デジモンリンクス,19520000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-05-01,デジモンリンクス,10360000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-06-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2019-07-01,デジモンリンクス,38600000.0,2016-03-24,2019-07-30,"原作モノ, アニメ/コミック, 育成, 無料"
2017-11-01,デスティニーチャイルド,59868358.20895522,2017-11-24,2023-09-21,無料
2017-12-01,デスティニーチャイルド,59868358.20895522,2017-11-24,2023-09-21,無料
2018-01-01,デスティニーチャイルド,268000000.0,2017-11-24,2023-09-21,無料
2018-02-01,デスティニーチャイルド,198000000.0,2017-11-24,2023-09-21,無料
2018-03-01,デスティニーチャイルド,246000000.0,2017-11-24,2023-09-21,無料
2018-04-01,デスティニーチャイルド,180000000.0,2017-11-24,2023-09-21,無料
2018-05-01,デスティニーチャイルド,160000000.0,2017-11-24,2023-09-21,無料
2018-06-01,デスティニーチャイルド,158000000.0,2017-11-24,2023-09-21,無料
2018-07-01,デスティニーチャイルド,76720000.0,2017-11-24,2023-09-21,無料
2018-08-01,デスティニーチャイルド,126000000.0,2017-11-24,2023-09-21,無料
2018-09-01,デスティニーチャイルド,127000000.0,2017-11-24,2023-09-21,無料
2018-10-01,デスティニーチャイルド,119000000.0,2017-11-24,2023-09-21,無料
